  ------------------------------------------------------------
  Configuration date: 2022-06-29 00:33:16 UTC +02:00
  Git branch:         qed_hf_grad_print
  Git hash:           1d17b0bd3b496969b9984e2aa0841af9aa0aedc6
  Fortran compiler:   GNU 12.1.0
  C compiler:         GNU 12.1.0
  C++ compiler:       GNU 12.1.0
  LAPACK type:        MKL
  BLAS type:          MKL
  64-bit integers:    ON
  OpenMP:             ON
  PCM:                OFF
  Forced batching:    OFF
  Runtime checks:     OFF
  ------------------------------------------------------------

  Description                                 wall[s]         cpu[s]    cpu/wall
  -------------------------------------------------------------------------------------
  One-electron integrals (overlap)             0.01            0.26     22.30
  Cholesky decomposition of AO        
  overlap                                      0.06            1.81     29.09
  Time initializing AO tool                    0.41            3.11      7.58
  One-electron integrals (overlap)             0.01            0.26     29.92
  One-electron integrals (dipole)              0.02            0.45     29.91


  Generating initial SAD density
  ==============================
  SAD generation time                          0.11            3.16     29.92
  Generating initial SAD density               0.21            6.34     29.93


  Determining reference state
  ===========================
  One-electron integrals              
  (hamiltonian)                                0.90           26.79     29.92
  AO G construction                           10.84          324.41     29.92
  AO G construction                           97.88         2929.38     29.93
  SCF diagonalization                          0.23            6.74     29.91
  SCF iteration                               98.62         2947.39     29.89
  AO G construction                           93.00         2783.31     29.93
  SCF diagonalization                          0.24            7.24     29.92
  SCF iteration                               93.72         2801.08     29.89
  AO G construction                           89.03         2664.24     29.93
  SCF diagonalization                          0.23            6.88     29.91
  SCF iteration                               89.73         2681.90     29.89
  AO G construction                           86.01         2573.93     29.93
  SCF diagonalization                          0.21            6.22     29.93
  SCF iteration                               86.65         2590.09     29.89
  AO G construction                           83.37         2495.10     29.93
  SCF diagonalization                          0.20            6.08     29.92
  SCF iteration                               84.04         2511.83     29.89
  AO G construction                           80.66         2413.87     29.93
  SCF diagonalization                          0.21            6.21     29.93
  SCF iteration                               81.32         2430.08     29.88
  AO G construction                           76.58         2291.68     29.93
  SCF diagonalization                          0.21            6.32     29.93
  SCF iteration                               77.23         2307.84     29.88
  AO G construction                           72.81         2178.92     29.93
  SCF diagonalization                          0.21            6.39     29.93
  SCF iteration                               73.50         2195.96     29.88
  AO G construction                           68.89         2061.65     29.93
  SCF diagonalization                          0.23            6.74     29.92
  SCF iteration                               69.57         2078.64     29.88
  AO G construction                           65.54         1961.29     29.93
  SCF diagonalization                          0.21            6.19     29.92
  SCF iteration                               66.18         1977.37     29.88
  AO G construction                           61.69         1846.26     29.93
  SCF diagonalization                          0.22            6.48     29.92
  SCF iteration                               62.38         1863.47     29.87
  AO G construction                           59.29         1774.24     29.93
  SCF diagonalization                          0.20            6.11     29.92
  SCF iteration                               59.92         1790.18     29.87
  AO G construction                           56.51         1691.24     29.93
  SCF diagonalization                          0.20            6.07     29.92
  SCF iteration                               57.18         1707.18     29.86
  AO G construction                           54.85         1641.37     29.93
  SCF diagonalization                          0.21            6.26     29.93
  SCF iteration                               55.53         1658.29     29.87
  AO G construction                           52.16         1561.11     29.93
  SCF diagonalization                          0.20            6.02     29.92
  SCF iteration                               52.80         1577.00     29.87
  AO G construction                           48.58         1453.93     29.93
  SCF diagonalization                          0.21            6.27     29.93
  SCF iteration                               49.24         1470.03     29.86
  AO G construction                           46.82         1401.15     29.93
  SCF diagonalization                          0.21            6.22     29.93
  SCF iteration                               47.46         1417.27     29.86
  AO G construction                           44.04         1317.96     29.93
  SCF diagonalization                          0.21            6.18     29.93
  SCF iteration                               44.69         1333.90     29.85
  AO G construction                           42.67         1276.87     29.93
  SCF diagonalization                          0.21            6.32     29.93
  SCF iteration                               43.35         1293.92     29.85
  AO G construction                           38.88         1163.60     29.93
  SCF diagonalization                          0.21            6.25     29.93
  SCF iteration                               39.54         1179.85     29.84
  AO G construction                           37.40         1119.15     29.93
  SCF diagonalization                          0.21            6.22     29.93
  SCF iteration                               38.06         1135.23     29.83
  AO G construction                           35.95         1075.75     29.93
  SCF diagonalization                          0.21            6.31     29.91
  SCF iteration                               36.60         1091.97     29.84
  AO G construction                           33.68         1007.96     29.93
  SCF diagonalization                          0.20            6.07     29.93
  SCF iteration                               34.33         1023.90     29.83
  AO G construction                           31.91          955.00     29.93
  SCF diagonalization                          0.22            6.67     29.93
  SCF iteration                               32.61          972.47     29.82
  AO G construction                           29.53          883.83     29.93
