  ------------------------------------------------------------
  Configuration date: 2022-06-29 00:33:16 UTC +02:00
  Git branch:         qed_hf_grad_print
  Git hash:           1d17b0bd3b496969b9984e2aa0841af9aa0aedc6
  Fortran compiler:   GNU 12.1.0
  C compiler:         GNU 12.1.0
  C++ compiler:       GNU 12.1.0
  LAPACK type:        MKL
  BLAS type:          MKL
  64-bit integers:    ON
  OpenMP:             ON
  PCM:                OFF
  Forced batching:    OFF
  Runtime checks:     OFF
  ------------------------------------------------------------

  Description                                 wall[s]         cpu[s]    cpu/wall
  SCF diagonalization                          0.23            6.76     29.92
  SCF iteration                               30.24          901.32     29.81
  AO G construction                           28.45          851.40     29.93
  SCF diagonalization                          0.22            6.46     29.93
  SCF iteration                               29.13          868.70     29.82
  AO G construction                           26.35          788.57     29.93
  SCF diagonalization                          0.21            6.32     29.93
  SCF iteration                               27.02          805.16     29.80
  AO G construction                           24.11          721.59     29.93
  SCF diagonalization                          0.21            6.20     29.93
  SCF iteration                               24.76          737.85     29.80
  AO G construction                           22.62          676.92     29.93
  SCF diagonalization                          0.21            6.38     29.92
  SCF iteration                               23.29          693.98     29.80
  AO G construction                           20.63          617.31     29.93
  SCF diagonalization                          0.20            6.12     29.93
  SCF iteration                               21.26          633.27     29.78
  AO G construction                           19.76          591.46     29.93
  SCF diagonalization                          0.21            6.16     29.93
  SCF iteration                               20.41          607.39     29.76
  AO G construction                           18.28          547.21     29.93
  SCF diagonalization                          0.21            6.39     29.93
  SCF iteration                               18.95          563.84     29.76
  AO G construction                           16.81          503.08     29.93
  SCF diagonalization                          0.23            6.93     29.93
  SCF iteration                               17.51          520.77     29.74
  AO G construction                           15.75          471.25     29.93
  SCF diagonalization                          0.21            6.20     29.93
  SCF iteration                               16.40          487.23     29.72
  AO G construction                           14.96          447.72     29.93
  SCF diagonalization                          0.22            6.63     29.93
  SCF iteration                               15.64          464.86     29.72
  AO G construction                           13.85          414.55     29.93
  SCF diagonalization                          0.20            6.10     29.92
  SCF iteration                               14.48          430.36     29.72
  AO G construction                           12.94          387.31     29.93
  SCF diagonalization                          0.21            6.23     29.91
  SCF iteration                               13.59          403.42     29.69
  AO G construction                           11.93          357.00     29.93
  SCF diagonalization                          0.20            6.12     29.92
  SCF iteration                               12.58          373.13     29.67
  AO G construction                           10.83          324.25     29.93
  SCF iteration                               11.24          333.26     29.64
  SCF solver                                1770.74        52861.57     29.85
  QED-HF gradient                           3712.58       109405.40     29.47
  Determining reference state               5588.05       165397.71     29.60
  Total time in eT                          5588.72       165408.42     29.60
